MemberType,Name,DataType
function,FindShortestPath,"(const FromPrimitive : IPCB_Primitive, const ToPrimitive : IPCB_Primitive) : IPCB_PrimitiveList"
function,FindShortestPath2,(const ForPrimitives : IPCB_PrimitiveList) : IPCB_PrimitiveList
function,GetConnectedPrimitives,IPCB_PrimitiveGroups
function,GetMaxPinsCount,Integer
function,GetMaxPrimsInNet,Integer
procedure,Rebuild,
procedure,RebuildNet,(const Net : IPCB_Net)
procedure,SetMaxPinsCount,(Value : Integer)
procedure,SetMaxPrimsInNet,(Value : Integer)
