MemberType,Name,DataType
procedure,AddCustomRelief,"(const ALayer : Integer, const AEdgeIndex : Integer, const AParameter : Double)"
procedure,AddCustomReliefAt,"(const ALayer : Integer, const AShape : IPCB_RegionShape, const ALocation : IDispatch)"
procedure,ClearCustomRelief,(const ALayer : Integer)
procedure,ExportCustomReliefToParameters,(const AParameters : IWideParameterList)
function,GetCustomThermalReliefInfo,(const ALayer : Integer) : IPCB_CustomThermalReliefInfo
function,GetShapeForCustomRelief,(const ALayer : Integer) : IPCB_RegionShape
procedure,ImportCustomReliefFromParameters,(const AParameters : IWideParameterList)
procedure,RemoveCustomRelief,"(const ALayer : Integer, const AEdgeIndex : Integer, const AParameter : Double)"
procedure,RemoveCustomReliefAt,"(const ALayer : Integer, const AShape : IPCB_RegionShape, const ALocation : IDispatch)"
